ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-0.82,11.17,-2.03,-0.74,-1.92,-0.10,-28.49,24.01,-42.75,42361
2.19,10.48,-4.17,-1.34,-0.06,-0.55,-26.13,25.07,-43.61,42395
6.35,12.65,-3.98,-1.80,1.25,-0.43,-22.96,26.67,-44.74,42429
4.37,11.21,-9.40,-2.10,2.61,-0.36,-17.55,29.19,-46.07,42463
3.13,9.06,-14.07,-2.50,4.82,-0.22,-8.29,33.57,-46.83,42498
0.26,0.75,-21.95,-2.19,5.92,-0.90,1.20,36.88,-44.83,42532
-1.60,1.88,-18.90,-0.90,6.35,-1.37,10.76,40.16,-38.50,42566
-1.76,5.89,-11.06,0.07,3.29,-1.38,14.86,41.80,-33.21,42600
4.98,8.44,-6.32,0.41,2.44,-1.32,16.71,43.48,-28.95,42634
-3.27,12.60,-2.08,1.15,0.67,0.43,18.56,44.15,-26.83,42668
-2.50,6.94,1.45,0.98,0.33,-0.15,20.04,43.55,-23.78,42703
-7.33,7.51,-2.62,1.53,-0.63,1.19,22.24,42.87,-22.70,42737
-10.39,6.73,1.03,2.09,-2.73,1.62,25.65,40.16,-24.82,42771
-5.94,10.55,1.00,2.59,-4.02,2.55,28.82,36.89,-28.82,42805
-3.22,16.01,1.48,2.50,-5.18,3.12,31.86,30.18,-34.92,42839
-6.92,16.31,6.09,1.64,-5.30,3.75,32.77,24.20,-40.13,42874
-10.18,13.65,4.30,0.58,-5.49,2.45,33.00,18.08,-43.98,42908
-12.52,6.85,-1.51,-0.23,-5.20,0.57,30.62,13.75,-48.23,42942
-7.51,5.55,-1.93,-2.21,0.12,-0.88,29.92,13.04,-47.71,42976
-2.66,7.22,-7.78,-1.91,0.24,-0.96,30.66,13.45,-44.78,43010
-0.06,5.40,-8.53,-2.47,1.78,-1.76,33.19,15.52,-41.22,43044
1.47,8.71,-12.35,-2.19,2.63,-1.49,35.38,17.25,-35.24,43079
6.47,12.52,-10.30,-1.95,3.01,-0.74,38.41,17.26,-28.21,43113
7.40,14.14,-11.37,-1.87,4.35,0.84,41.19,15.65,-19.45,43147
4.94,6.66,-10.13,-2.45,6.45,-0.43,41.87,13.34,-7.64,43181
-2.53,-1.59,-23.74,-1.91,6.39,-1.04,37.30,12.25,8.56,43215
-3.52,6.36,-12.84,0.85,0.77,0.67,34.29,10.44,13.99,43250
-2.20,6.84,-4.55,0.86,0.79,-0.65,30.75,11.58,18.42,43284
1.55,4.52,-5.44,1.15,0.47,-1.51,23.66,13.68,21.40,43318
-7.60,6.19,-2.51,1.21,0.60,-0.62,18.50,15.52,23.97,43352
-2.67,6.94,-2.88,1.10,0.19,-0.30,13.20,17.57,25.37,43386
-2.51,7.68,0.07,1.17,-0.66,1.05,10.49,19.47,25.05,43420
-1.78,12.77,3.57,1.79,-2.55,3.06,10.96,21.59,22.73,43455
-10.89,12.61,11.58,1.73,-4.41,3.90,17.38,22.27,17.58,43489
-9.19,18.01,6.95,1.34,-5.79,4.47,25.67,19.69,11.81,43523
-12.97,13.33,-2.66,0.06,-5.38,1.52,33.05,14.47,6.72,43557
6.28,6.68,-7.20,0.04,-4.73,0.25,35.36,12.16,1.30,43591
-4.77,9.69,-2.61,-0.14,-2.05,0.59,35.25,9.85,-2.06,43625
-1.00,13.46,2.72,-0.90,-1.33,-0.65,35.22,9.09,-3.93,43660
-1.80,8.59,-8.67,-1.74,0.49,-1.33,34.27,9.32,-2.41,43694
0.52,11.33,-7.31,-1.74,0.77,-1.15,33.06,8.99,-0.06,43728
3.05,10.09,-12.04,-2.24,1.76,-1.15,31.48,8.61,2.79,43762
5.12,8.06,-12.17,-2.31,3.13,-0.65,29.57,7.21,5.90,43796
5.58,7.38,-13.83,-2.03,4.54,-0.08,26.45,4.53,10.82,43831
5.97,4.02,-17.83,-1.69,6.64,-0.59,20.99,3.14,15.83,43865
-4.21,1.60,-18.96,-0.69,6.35,-1.61,12.89,2.43,19.63,43899
-3.41,3.11,-11.69,0.17,3.36,-0.92,6.33,3.27,20.75,43933
-1.40,10.35,-4.04,1.28,0.55,1.27,4.40,5.01,20.81,43967
-4.46,9.09,2.19,1.37,-0.80,1.37,4.27,5.69,20.13,44001
-2.70,10.75,2.76,1.66,-2.05,2.52,6.61,6.34,19.10,44036
-11.53,11.15,9.90,1.87,-4.68,3.80,11.30,6.08,17.54,44070
