ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.67,9.76,-4.13,-0.66,-0.36,-0.12,-34.32,14.43,2.27,56257
-6.95,3.98,-7.00,-1.35,1.09,-0.55,-36.47,3.70,4.50,56391
-3.21,8.14,-4.06,-1.08,1.17,-0.57,-40.02,-4.41,3.71,56525
-8.94,4.31,-3.11,-0.12,0.15,-0.33,-45.19,-10.17,-1.55,56659
8.60,14.87,-5.91,5.02,-2.54,1.89,-44.36,0.16,5.38,56792
-16.57,20.74,-7.40,9.37,-8.21,1.18,1.87,39.54,4.03,56926
-0.23,10.50,-19.38,-0.80,1.35,-0.27,1.26,42.81,5.82,57060
-5.05,10.65,-1.90,0.93,-0.42,1.71,5.67,42.63,7.04,57194
10.69,9.54,-9.24,-5.29,12.80,-6.81,-22.41,29.35,20.21,57328
-39.20,39.16,-26.95,-1.11,3.69,0.09,-39.29,23.37,9.78,57461
-1.08,10.86,0.20,-1.71,-0.79,1.60,-26.82,18.82,18.44,57595
-9.29,19.00,-29.62,-2.17,3.95,0.47,-16.28,9.56,24.50,57729
-10.57,0.47,-10.28,5.81,-4.11,4.08,-17.70,16.24,20.23,57863
3.44,17.77,-3.34,2.48,-7.13,1.08,19.70,32.04,-7.91,57997
-8.17,-7.43,9.08,-2.88,-2.15,-2.60,4.34,42.03,2.78,58130
-11.12,-0.93,-7.77,0.65,-1.96,-0.90,-5.03,45.37,5.01,58264
10.22,-12.58,18.33,-10.72,-3.32,-9.70,-23.03,39.45,8.65,58398
-32.25,-31.86,-33.05,-0.06,2.98,-2.05,-45.95,32.27,-16.72,58532
-9.56,9.90,-2.68,-1.97,-0.64,0.78,-30.85,42.96,-8.87,58666
-6.87,4.69,-7.47,0.11,-0.44,-0.32,-23.02,43.31,-4.22,58799
-4.00,9.10,-4.08,-0.89,-0.68,-0.63,-24.51,40.92,2.16,58933
-5.08,6.14,-4.22,-0.46,-0.15,-0.52,-24.33,37.99,7.04,59067
-3.97,6.67,-5.24,-0.08,-0.45,-0.34,-24.25,36.51,8.24,59201
-4.80,19.54,1.08,0.79,-0.20,2.71,-13.72,39.93,5.55,59334
-4.42,-4.93,-3.06,-1.17,-3.03,-1.63,22.86,27.14,-26.50,59468
-9.48,23.89,26.37,-3.19,3.34,-3.35,25.75,17.33,-30.34,59602
-2.89,5.86,-0.25,-4.36,0.52,-3.34,25.78,24.54,-21.43,59736
-2.92,10.68,-3.33,-0.07,0.48,-0.15,15.17,35.91,-13.04,59870
-5.17,0.80,-8.45,0.04,-2.02,-0.60,8.01,39.01,-13.81,60003
-7.85,8.62,-4.99,1.86,-1.73,1.11,1.20,35.94,-24.16,60137
16.63,-26.67,-25.28,-5.09,4.46,-5.09,-7.15,31.63,-13.46,60271
-16.96,11.51,-16.07,-0.45,4.94,-0.71,-29.45,24.60,-2.65,60405
-9.22,10.03,5.93,-3.60,1.32,-0.27,-28.69,29.32,-2.72,60539
-10.65,3.99,-6.41,0.96,-1.67,-0.64,-27.71,25.33,2.25,60672
0.01,21.74,1.45,-0.50,-1.06,2.69,-20.62,27.19,4.75,60806
-6.45,-14.42,-1.48,-0.08,-1.87,1.14,9.82,24.48,5.88,60940
37.20,33.83,-15.79,-1.98,4.36,5.07,20.42,24.92,-13.48,61074
