ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-1.68,9.57,-4.85,-1.77,3.28,-0.10,25.48,14.75,-14.10,123434
-4.92,3.06,-7.98,-1.50,2.40,-0.02,24.31,13.91,-10.57,123468
-3.95,4.28,-5.75,-0.28,1.19,0.47,23.24,12.74,-7.99,123502
-2.10,11.15,-4.06,-0.20,1.20,0.41,23.30,12.29,-6.30,123537
-4.92,9.19,-4.98,-1.12,2.18,-0.69,21.67,12.53,-3.14,123571
-7.12,6.90,-7.50,-1.10,2.04,-0.97,19.15,12.28,-1.67,123605
-8.09,8.21,-6.48,-0.78,1.80,-0.92,17.30,12.47,0.58,123639
-5.72,6.76,-3.47,-1.00,1.81,-1.08,14.53,11.97,2.76,123673
-5.86,10.27,-2.07,-0.86,1.72,-0.63,12.29,11.49,4.12,123708
-5.55,8.78,-4.92,-0.95,1.57,-0.75,10.14,11.15,5.93,123742
-3.33,7.13,-6.69,-0.84,1.32,-0.78,7.83,10.68,6.97,123776
-6.29,7.15,-5.93,-0.89,1.63,-0.74,5.71,10.27,7.94,123810
-6.54,8.72,-3.93,-1.18,1.73,-1.35,2.72,8.97,9.49,123844
-7.42,4.31,-3.64,-1.62,2.03,-1.91,-1.56,7.15,9.66,123878
-6.33,6.20,-4.09,-1.31,1.73,-1.63,-3.86,5.98,10.19,123913
-6.43,9.40,-2.94,-1.39,1.89,-1.56,-7.16,4.00,9.88,123947
-7.21,6.93,-2.69,-1.63,1.91,-1.65,-10.03,1.68,9.24,123981
-7.40,5.13,-1.69,-1.76,2.21,-1.58,-13.46,-0.16,9.62,124015
-4.46,9.19,-2.75,-1.53,2.28,-1.41,-16.87,-2.72,8.20,124049
-2.46,8.12,-4.80,-2.22,2.63,-1.44,-19.60,-4.82,5.98,124083
-1.38,9.00,-8.11,-2.36,3.11,-0.94,-23.00,-7.88,4.68,124118
3.88,10.86,-9.50,-2.36,3.31,-0.52,-26.31,-9.59,2.24,124152
-0.28,7.31,-6.39,-1.86,3.17,0.21,-28.88,-11.22,-1.13,124186
-0.61,5.02,-0.57,-1.02,1.91,2.13,-30.37,-9.59,-3.65,124220
-0.31,8.45,-1.97,-0.79,1.64,2.63,-31.54,-7.09,-5.32,124254
-14.22,0.33,-6.14,-0.97,1.27,1.51,-32.17,-4.59,-6.59,124289
-12.90,2.36,-11.65,0.52,-0.25,0.91,-32.53,-2.59,-7.22,124323
-7.00,10.19,-4.86,0.72,-0.26,-0.47,-32.67,-2.21,-7.09,124357
-7.12,10.13,-0.94,-0.91,1.08,-1.95,-33.46,-3.43,-8.04,124391
-2.77,13.15,-3.10,-1.07,1.47,-2.10,-34.51,-6.36,-9.79,124425
-3.89,10.99,-5.68,-1.71,1.65,-2.29,-35.65,-9.59,-11.78,124459
-4.95,4.65,-6.73,-1.58,1.32,-2.02,-35.94,-12.48,-12.44,124494
-4.58,5.38,-4.26,-1.27,0.94,-1.93,-36.07,-15.36,-14.26,124528
-2.77,6.81,-1.86,-1.30,1.38,-1.57,-36.17,-17.11,-16.98,124562
-3.83,10.84,-2.04,-1.92,2.11,-1.62,-36.14,-18.55,-19.45,124596
-6.31,5.61,-5.86,-2.50,2.64,-1.87,-36.17,-20.93,-23.49,124630
-5.82,6.81,-7.08,-1.73,1.91,-1.11,-35.97,-21.94,-26.56,124665
-3.08,7.02,-5.16,-1.98,2.16,-0.85,-34.74,-22.96,-29.00,124699
-3.24,10.26,-3.46,-2.13,2.83,-0.52,-33.44,-23.06,-34.04,124733
-4.71,9.69,-5.28,-2.12,2.89,-0.22,-32.48,-22.74,-38.28,124767
-2.31,9.64,-7.63,-1.60,2.70,0.18,-31.23,-21.72,-42.59,124801
-3.90,4.30,-5.26,-1.69,2.36,0.54,-29.19,-20.49,-45.19,124835
-10.40,5.32,-5.56,-1.45,2.28,-0.14,-27.76,-19.32,-47.95,124870
-11.11,-2.38,-4.59,-1.69,2.27,-0.71,-25.20,-18.77,-50.01,124904
-11.10,3.48,-6.81,-0.88,1.95,-1.00,-23.00,-18.52,-51.74,124938
-0.69,8.95,-6.50,-0.56,1.38,-0.90,-20.78,-18.50,-53.51,124972
4.95,14.35,-2.06,-0.60,1.34,-0.04,-18.88,-18.27,-54.31,125006
5.19,11.48,-0.74,-1.22,2.08,0.70,-16.97,-17.73,-56.11,125041
-0.57,10.55,-4.27,-1.12,2.14,1.10,-14.32,-16.16,-57.61,125075
-11.37,3.01,-7.70,-1.39,1.96,0.29,-11.96,-15.10,-59.24,125109
-12.21,4.20,-10.44,-0.67,0.92,-0.89,-9.94,-14.34,-59.56,125143
-9.90,2.43,-8.13,-0.22,0.11,-0.79,-9.68,-14.34,-59.84,125177
-3.01,11.05,-2.58,0.19,-0.22,-0.23,-10.20,-15.08,-59.40,125211
-2.76,12.72,0.50,-0.54,0.66,-0.63,-8.62,-14.72,-59.84,125246
-2.33,12.00,-1.57,-1.56,1.95,-1.46,-6.20,-13.33,-61.01,125280
-3.71,9.12,-7.76,-1.94,2.47,-1.81,-3.65,-11.05,-61.46,125314
-1.40,9.65,-10.38,-2.27,2.82,-2.09,0.66,-8.33,-61.52,125348
1.12,4.19,-6.99,-3.48,4.55,-2.28,5.69,-4.62,-59.53,125382
-1.78,7.29,-0.64,-2.99,5.08,-1.34,12.86,1.05,-56.28,125416
0.69,12.39,-2.04,-1.89,4.25,-0.51,17.76,2.82,-52.91,125451
-5.15,7.80,-6.82,-0.44,1.29,0.97,21.03,3.70,-51.34,125485
-3.23,7.59,-4.97,-0.22,0.65,1.59,23.36,2.40,-49.88,125519
-5.85,8.74,-2.99,-0.71,1.35,0.91,25.50,1.49,-48.48,125553
-9.53,6.34,-5.93,-1.14,1.77,-0.11,27.83,2.21,-44.83,125587
-11.92,6.97,-8.10,-0.69,1.41,-0.68,29.39,2.75,-42.66,125622
-5.07,9.83,-6.42,-0.22,0.31,-0.66,29.33,3.57,-41.46,125656
-6.06,9.85,-2.46,-0.66,0.89,-1.19,29.45,4.94,-38.85,125690
-7.08,6.59,-1.06,-1.26,1.54,-1.77,29.87,6.78,-36.66,125724
-2.59,7.77,-2.95,-1.23,1.65,-1.52,29.67,8.92,-32.71,125758
-2.03,11.49,-4.15,-1.70,2.28,-1.53,29.11,10.99,-30.08,125792
-2.25,11.87,-4.68,-2.48,3.31,-1.98,28.35,12.80,-23.69,125827
-0.37,7.05,-7.05,-3.49,4.71,-2.29,26.02,14.37,-16.16,125861
0.09,8.06,-5.40,-3.44,5.24,-1.92,22.62,14.75,-8.46,125895
0.42,13.54,-5.36,-2.04,4.21,-0.76,19.32,13.74,-2.53,125929
-3.44,6.45,-8.41,-1.37,2.64,0.08,16.35,12.80,1.01,125963
-3.80,3.72,-7.09,-0.96,1.97,0.72,15.14,12.19,2.65,125998
-5.05,4.33,-4.39,-0.62,1.32,1.02,14.22,11.28,3.45,126032
-7.24,6.95,-4.03,0.03,0.63,1.14,14.21,10.68,4.40,126066
-3.59,8.23,-2.98,0.05,0.16,0.88,14.86,9.89,4.09,126100
-5.13,9.28,-4.21,0.11,-0.01,0.74,15.20,10.04,4.63,126134
-9.54,7.27,-5.26,-0.84,1.17,-0.32,14.41,9.28,5.36,126168
-7.16,6.54,-6.44,-0.23,0.12,-0.16,13.52,9.37,6.33,126203
-1.50,11.49,-4.23,0.05,-0.42,0.24,13.87,9.53,5.99,126237
-8.48,8.83,-0.58,-0.68,0.53,-0.51,12.72,8.81,6.68,126271
-4.24,8.80,-1.43,-0.80,0.61,-1.20,10.58,9.32,7.82,126305
-0.75,8.87,-2.71,-1.02,1.14,-1.19,8.64,8.58,8.51,126339
3.65,14.68,-3.03,-1.50,1.98,-1.22,5.52,7.69,10.38,126374
5.22,16.46,-5.92,-2.95,3.87,-1.99,0.06,4.56,11.25,126408
0.46,10.43,-13.71,-4.48,5.27,-3.19,-7.00,0.50,10.92,126442
0.53,-1.45,-16.83,-5.24,6.05,-3.01,-15.19,-5.89,8.94,126476
-3.26,7.60,-11.44,-3.35,5.93,-1.11,-21.02,-9.53,5.52,126510
-9.17,8.80,-5.94,-2.73,4.65,-0.21,-25.18,-11.69,2.13,126544
5.11,5.94,-1.99,-0.70,2.43,0.96,-28.46,-11.33,-1.75,126579
-1.86,8.06,-4.07,-0.32,1.14,1.73,-29.87,-9.13,-3.24,126613
-3.92,6.67,-6.70,0.20,0.37,1.92,-30.68,-5.89,-4.63,126647
-5.06,9.80,-3.80,-0.09,0.83,1.18,-31.01,-3.65,-5.26,126681
-3.15,9.23,-5.51,-0.97,1.95,-0.07,-32.11,-3.13,-6.39,126715
-8.78,5.59,-8.41,-1.14,2.34,-0.74,-34.30,-3.71,-8.93,126750
-8.29,11.64,-7.14,-0.96,2.00,-1.34,-35.72,-4.33,-10.98,126784
-9.28,7.94,-4.87,-0.98,1.27,-1.39,-36.45,-6.49,-13.18,126818
-5.80,7.67,-5.21,-1.00,1.12,-1.44,-36.79,-7.32,-14.41,126852
-8.85,2.34,-4.71,-0.73,0.90,-1.34,-36.86,-8.59,-15.20,126886
-4.47,6.68,-1.19,-0.42,0.60,-0.94,-37.09,-10.13,-15.27,126920
-3.24,9.45,-0.40,-0.44,0.66,-0.85,-37.20,-11.18,-16.54,126955
-5.28,8.59,0.11,-0.73,1.02,-0.97,-37.71,-11.96,-18.61,126989
-1.89,10.97,-5.19,-1.06,1.49,-0.92,-37.81,-12.73,-20.43,127023
-2.54,14.19,-10.26,-1.82,2.43,-1.36,-37.93,-14.50,-22.58,127057
-0.82,3.65,-8.08,-3.12,3.35,-1.32,-37.46,-16.03,-27.39,127091
3.82,8.56,-7.50,-2.33,3.52,-0.40,-36.17,-17.13,-32.43,127125
2.14,14.05,-5.67,-2.24,4.32,-0.12,-34.76,-16.11,-38.79,127160
-5.71,7.14,-7.60,-2.08,3.06,0.62,-32.51,-15.08,-43.03,127194
-6.24,3.53,-9.47,-0.59,1.59,1.25,-31.34,-13.88,-44.24,127228
-2.99,7.96,-6.55,0.15,0.40,1.24,-30.53,-12.98,-45.18,127262
-2.68,9.58,-1.62,-0.48,1.11,0.50,-29.90,-12.66,-46.61,127296
-4.62,10.67,-2.93,-1.29,2.14,-0.47,-28.16,-12.32,-48.82,127331
-2.38,8.04,-7.86,-0.87,1.59,-0.22,-25.88,-12.12,-50.23,127365
-2.68,10.29,-6.03,-1.21,2.02,-0.78,-24.28,-12.44,-51.96,127399
-1.32,8.31,-5.27,-1.92,2.90,-1.48,-20.96,-11.71,-54.94,127433
-0.37,13.78,-5.33,-2.11,3.39,-1.41,-17.93,-10.93,-56.93,127467
1.09,11.35,-9.41,-2.90,4.01,-1.72,-14.32,-8.58,-58.99,127501
2.76,9.51,-14.03,-2.97,4.38,-1.45,-7.88,-6.34,-60.67,127536
-2.73,6.78,-12.64,-3.34,4.75,-1.64,-2.81,-3.07,-59.72,127570
-0.99,5.87,-11.86,-3.13,5.16,-1.48,4.60,1.74,-57.22,127604
-0.96,6.85,-11.80,-2.83,5.11,-0.96,10.54,5.38,-54.50,127638
-1.20,7.47,-8.87,-2.44,4.72,-0.30,15.77,7.35,-50.88,127672
-3.62,5.80,-10.09,-2.22,4.44,-0.15,21.57,9.37,-45.63,127707
-8.06,3.82,-13.05,-1.95,4.10,-0.07,24.77,10.45,-41.51,127741
-7.42,1.11,-7.47,-1.59,3.39,0.15,27.76,11.31,-35.52,127775
-13.02,2.58,-5.64,-0.43,2.03,0.35,29.38,11.02,-32.14,127809
-9.48,5.00,-4.79,0.44,0.15,0.45,30.49,10.48,-30.91,127843
-8.89,5.28,-4.01,1.07,-1.40,1.09,30.74,8.70,-32.78,127877
2.25,7.17,-5.64,1.27,-1.94,1.38,31.32,6.96,-34.93,127912
-1.34,8.66,-2.13,0.85,-1.24,1.44,32.42,4.09,-36.36,127946
-5.77,12.54,-2.17,0.46,-0.64,0.55,31.91,3.14,-37.65,127980
-6.81,7.57,-2.17,-0.23,-0.05,-0.44,32.17,3.32,-36.63,128014
-3.21,10.94,-4.58,-0.38,0.40,-0.84,31.98,4.90,-35.49,128048
-1.42,10.87,-3.68,-1.02,1.24,-1.46,32.18,6.14,-33.09,128083
2.94,10.73,-3.29,-1.88,2.17,-1.91,31.15,8.64,-29.36,128117
4.17,11.08,-3.78,-2.18,2.88,-1.71,30.31,10.17,-24.25,128151
4.82,15.43,-5.21,-2.98,4.06,-1.83,28.79,11.90,-18.28,128185
2.07,9.12,-10.81,-3.97,5.24,-2.38,24.88,12.23,-8.08,128219
1.87,8.39,-16.13,-4.17,5.77,-2.16,20.08,11.25,-0.94,128253
0.85,3.51,-18.60,-4.44,6.48,-1.75,12.60,9.15,6.08,128288
-2.20,4.89,-12.70,-3.68,6.19,-0.79,5.14,5.92,10.79,128322
0.42,10.34,-11.20,-2.22,4.95,-0.14,-0.91,3.67,12.28,128356
-6.25,1.91,-9.08,-1.56,3.26,0.60,-6.91,1.70,11.55,128390
-3.54,5.90,-8.32,-0.72,2.34,1.01,-9.89,1.89,11.39,128424
-6.55,6.19,-7.84,-0.65,1.84,0.05,-12.67,1.05,9.54,128458
-9.04,6.15,-5.78,-0.55,1.56,-0.36,-14.35,0.82,8.37,128493
-4.91,9.01,-3.50,-0.40,1.41,-0.33,-16.16,0.76,7.54,128527
-4.10,11.27,-2.97,-0.48,1.32,-0.02,-17.64,0.37,6.72,128561
-3.69,8.69,-5.80,-0.45,0.85,-0.11,-19.26,0.41,5.90,128595
-3.15,9.40,-8.79,-1.09,1.68,-1.04,-20.81,-0.25,4.91,128629
-6.81,0.45,-0.96,-2.13,3.12,-2.23,-23.81,-3.41,3.07,128664
-3.05,13.58,-0.04,-1.93,3.46,-2.19,-27.05,-5.67,0.44,128698
-5.16,14.66,-7.40,-3.53,4.40,-3.21,-31.25,-10.79,-3.60,128732
-10.21,-0.72,-11.04,-3.04,3.27,-2.71,-33.27,-14.75,-8.54,128766
-7.60,0.81,-8.65,-2.00,2.58,-1.67,-34.74,-18.11,-12.67,128800
-0.95,9.74,-5.71,-1.73,2.51,-1.13,-35.08,-20.04,-15.61,128834
4.93,12.98,-6.41,-2.38,3.86,-1.05,-35.82,-21.59,-20.51,128869
7.32,14.96,-9.34,-2.79,4.40,-0.75,-35.59,-22.13,-27.27,128903
13.50,14.40,-9.70,-0.83,3.96,1.17,-35.17,-21.38,-32.07,128937
-6.13,5.97,-6.45,-2.75,4.20,1.72,-34.10,-18.36,-38.22,128971
-15.81,3.73,-11.43,-1.61,3.77,1.67,-32.49,-16.24,-42.39,129005
-16.96,4.46,-10.65,-0.60,1.98,0.32,-31.48,-15.27,-44.65,129040
