ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
3.35,6.15,-1.82,-0.13,-0.07,1.45,25.61,-8.67,5.50,83291465
4.49,10.27,-4.49,-0.84,-0.41,1.89,26.26,-11.37,4.53,83291500
7.47,8.81,-3.81,-1.65,-1.14,1.96,26.45,-13.97,2.59,83291534
6.35,5.72,-1.52,-2.23,-1.39,2.44,26.63,-18.50,1.26,83291568
10.96,5.74,-3.27,-1.97,-1.16,2.59,27.07,-22.10,-0.12,83291602
5.48,5.05,-4.86,-2.17,-1.14,2.40,26.44,-26.19,-1.99,83291636
7.57,1.97,-3.85,-3.18,-1.58,2.53,25.58,-30.81,-5.35,83291670
13.07,-0.87,0.71,-2.92,-1.27,2.96,24.50,-35.05,-8.81,83291705
11.02,-0.39,-2.35,-1.88,-0.68,2.62,22.01,-38.04,-11.58,83291739
7.57,-0.02,-6.32,-1.92,-0.42,2.39,20.29,-40.37,-12.83,83291773
7.74,-0.27,-4.06,-2.69,-0.58,2.32,18.40,-42.02,-15.67,83291807
9.11,-0.08,-3.10,-2.93,-0.59,2.04,15.68,-43.72,-18.71,83291841
10.70,-0.46,-1.75,-3.23,-0.67,1.84,13.59,-44.59,-22.73,83291875
9.65,-1.80,-2.96,-3.63,-0.66,1.98,11.20,-45.37,-27.13,83291910
9.08,4.21,-4.40,-4.06,-0.80,1.86,8.86,-45.18,-31.79,83291944
10.77,1.99,-2.72,-5.11,-1.11,1.77,6.69,-43.83,-38.28,83291978
12.87,-1.30,-1.88,-4.98,-1.13,1.88,4.11,-40.76,-43.86,83292012
11.20,-1.51,0.38,-3.83,-0.74,2.02,1.94,-38.09,-47.94,83292046
7.65,-3.74,0.57,-4.04,-0.53,3.12,-1.86,-34.68,-51.48,83292081
12.05,0.63,-5.40,-4.11,-0.45,2.90,-4.60,-31.42,-54.36,83292115
6.53,-2.16,-1.66,-4.09,-0.48,2.67,-6.45,-26.62,-57.15,83292149
10.18,-0.07,-3.29,-3.93,-0.43,2.99,-8.87,-20.80,-58.75,83292183
8.64,4.37,-5.37,-4.15,-0.53,1.92,-10.38,-15.90,-59.32,83292217
