ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-5.93,6.63,-6.10,-3.75,4.01,-3.71,-43.26,-6.69,-8.36,44405
-4.65,6.32,-7.83,-3.97,4.07,-3.72,-43.57,-12.77,-14.21,44439
-9.35,0.37,-9.15,-3.87,3.97,-3.94,-42.25,-18.91,-22.67,44473
-11.44,-0.31,-7.50,-3.35,3.46,-3.91,-39.54,-23.02,-29.17,44507
-11.68,3.41,-4.94,-3.26,3.24,-4.16,-35.81,-26.05,-34.89,44541
-10.86,-0.88,-4.31,-3.80,3.73,-4.59,-29.41,-29.07,-43.22,44576
-8.58,6.96,-3.37,-4.27,4.16,-4.95,-21.85,-29.51,-49.43,44610
-8.26,1.70,-3.73,-4.25,4.01,-5.08,-13.94,-27.02,-53.74,44644
-5.36,8.43,-0.86,-3.95,3.48,-4.78,-4.63,-22.57,-57.89,44678
-5.64,6.78,-1.57,-4.18,3.66,-4.52,2.34,-17.28,-58.87,44712
-8.36,6.73,-4.78,-4.16,3.73,-4.18,9.62,-9.37,-57.64,44747
-7.56,5.47,-3.51,-3.59,3.02,-3.52,13.88,-2.59,-55.85,44781
-7.49,4.66,-4.55,-2.92,2.27,-2.87,16.65,2.82,-53.60,44815
-2.60,6.28,-7.88,-2.70,1.98,-2.61,18.25,8.30,-50.34,44849
-5.37,5.60,-6.45,-2.77,2.02,-2.63,19.12,13.15,-47.15,44883
-7.15,3.15,-5.50,-3.13,2.28,-2.47,19.66,18.82,-42.43,44917
-11.58,-0.54,-6.97,-3.90,3.40,-2.76,19.82,23.66,-36.32,44952
-9.91,-0.01,-6.23,-4.05,3.45,-2.62,19.67,27.26,-29.04,44986
-11.48,-2.31,-6.60,-4.38,4.22,-3.12,17.10,31.19,-19.83,45020
-9.12,0.58,-7.39,-3.93,3.45,-3.29,13.48,33.50,-12.74,45054
-12.58,-0.65,-1.43,-3.51,3.30,-3.59,8.83,34.16,-6.90,45088
-11.48,4.99,1.55,-3.24,3.17,-3.76,1.27,33.12,-1.45,45123
-6.07,7.20,-3.63,-3.51,3.46,-3.82,-5.31,31.92,3.62,45157
-3.91,11.05,-7.00,-4.06,4.09,-4.14,-14.57,27.48,7.23,45191
-8.34,7.08,-4.93,-4.18,4.05,-3.76,-21.29,22.60,9.60,45225
-8.24,4.13,-4.10,-3.51,3.38,-3.26,-27.01,17.87,9.13,45259
-4.87,4.88,-6.87,-3.18,2.96,-3.01,-32.36,11.44,8.02,45293
-10.18,2.04,-2.65,-3.15,2.94,-2.87,-36.07,6.39,5.86,45328
-7.05,4.30,-2.35,-3.43,3.35,-3.08,-38.94,-2.76,2.98,45362
-6.71,4.38,-7.81,-3.72,4.07,-3.36,-42.03,-5.64,-2.86,45396
-6.77,2.62,-9.35,-3.57,3.88,-3.84,-43.26,-11.75,-9.00,45430
-8.37,2.11,-4.45,-3.62,3.77,-3.89,-42.37,-18.52,-16.40,45464
-8.42,4.19,-7.04,-4.28,4.63,-4.30,-40.24,-24.00,-24.25,45499
-9.59,3.81,-6.81,-4.68,5.08,-4.57,-35.60,-27.55,-33.59,45533
-10.61,1.32,-4.50,-4.58,4.64,-4.46,-28.11,-28.82,-43.44,45567
-10.73,1.56,-6.84,-4.77,4.81,-4.84,-20.48,-28.47,-49.63,45601
-11.01,0.77,-5.02,-4.36,4.33,-5.00,-10.17,-24.70,-55.06,45635
-9.41,-0.05,-1.33,-4.16,3.89,-4.94,-2.63,-20.04,-57.83,45669
-10.18,4.45,-2.68,-4.31,4.07,-5.18,4.81,-14.31,-59.06,45704
-9.45,4.13,-3.96,-4.40,4.03,-5.05,12.25,-5.32,-56.64,45738
