ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
-2.45,9.15,-3.64,0.72,-1.63,0.14,-16.28,-29.79,-51.55,42115
-5.99,8.88,-2.28,0.62,-1.72,0.42,-18.88,-30.42,-49.99,42149
-6.11,6.01,-3.08,0.57,-1.82,0.03,-21.29,-30.39,-48.28,42183
-3.73,10.70,-1.82,0.51,-1.90,0.01,-23.62,-30.52,-46.52,42217
-3.35,6.72,-5.26,0.06,-1.71,-0.33,-25.46,-30.63,-44.75,42251
-4.92,8.56,-2.03,-0.04,-1.54,0.04,-27.58,-30.12,-44.14,42286
-4.54,7.59,-2.19,-1.26,-1.01,-0.47,-28.14,-29.79,-44.23,42320
-2.53,9.76,-5.30,-2.02,-0.24,-0.27,-28.15,-28.49,-45.25,42354
0.06,9.22,-4.29,-2.94,0.49,-0.26,-27.27,-26.48,-47.31,42388
-4.37,7.62,-7.53,-3.80,1.88,-0.75,-25.83,-21.81,-49.80,42422
-2.31,12.86,-10.29,-4.36,2.75,-0.65,-22.27,-16.88,-53.76,42457
-2.40,12.21,-12.85,-5.12,3.99,-0.84,-18.34,-11.74,-55.85,42491
-1.33,9.78,-13.71,-5.44,4.02,-0.66,-12.53,-3.93,-56.26,42525
1.67,10.72,-14.71,-5.43,4.66,-0.39,-7.48,2.60,-53.99,42559
-2.92,12.14,-16.85,-5.32,4.85,-0.67,-2.05,9.84,-51.37,42593
-0.57,10.64,-13.64,-5.26,4.76,-0.21,2.53,15.40,-48.22,42627
0.60,16.35,-13.54,-4.60,4.17,0.31,6.75,20.32,-43.10,42662
-0.95,13.53,-14.74,-5.10,4.84,0.47,11.34,25.45,-35.81,42696
-4.52,13.13,-15.36,-4.40,4.55,0.95,15.39,27.68,-28.18,42730
-2.26,11.30,-10.04,-3.29,4.31,1.35,18.33,29.03,-20.15,42764
-7.86,11.78,-5.34,-1.64,1.55,4.02,23.06,26.67,-14.75,42798
-11.29,11.84,-14.60,-2.07,1.66,4.38,28.92,22.19,-10.87,42833
