ax,ay,az,gx,gy,gz,mx,my,mz,timestamp
4.00,-8.93,-1.56,1.58,-2.12,0.52,-36.12,127.19,-46.74,663831
3.09,-9.14,-1.27,1.33,-1.49,0.79,-33.16,126.67,-53.35,663865
1.32,-14.15,-4.69,0.60,-1.28,0.88,-29.06,126.03,-56.85,663899
7.20,-8.92,-1.42,-0.40,0.84,0.21,-25.68,125.46,-56.59,663933
2.71,-8.26,-0.65,-0.63,1.61,0.02,-22.46,125.27,-55.03,663967
2.06,-8.25,-1.07,-0.16,-0.08,-0.58,-22.81,124.51,-55.06,664001
2.47,-6.91,-1.96,-0.03,-0.51,-0.66,-24.99,123.52,-55.33,664036
1.15,-8.76,-1.12,0.10,-0.44,-0.07,-25.23,122.90,-56.20,664070
3.48,-7.07,0.05,0.72,-0.90,0.09,-25.50,122.20,-58.65,664104
-6.64,-19.01,-3.56,1.14,-1.93,0.43,-25.62,120.71,-63.45,664138
8.68,-3.73,3.01,0.80,-2.70,-1.15,-32.77,117.30,-63.88,664172
-4.46,-13.11,-4.63,0.35,-1.98,-0.63,-37.99,114.57,-65.33,664207
9.68,-9.74,-1.86,-0.17,-0.89,-1.05,-43.07,112.19,-63.31,664241
9.94,-6.74,-3.31,-0.68,0.07,-1.02,-46.00,110.58,-62.83,664275
0.26,-11.00,-0.72,-0.82,1.84,-0.58,-46.43,110.80,-61.90,664309
-0.64,-10.09,-1.89,-0.36,0.56,-1.04,-47.73,109.60,-61.53,664343
2.93,-8.84,-2.29,-0.24,0.01,-1.02,-51.23,108.24,-60.46,664377
2.18,-9.45,0.34,-0.05,0.36,-0.98,-54.60,106.18,-60.93,664412
2.40,-9.55,0.15,0.01,0.15,-1.09,-56.68,104.28,-61.41,664446
2.17,-9.15,0.39,0.03,-0.98,-1.18,-61.41,100.47,-59.65,664480
3.14,-11.33,-0.47,0.27,-1.52,-1.15,-65.23,97.19,-59.03,664514
3.29,-8.91,-3.30,0.96,-1.71,-1.13,-71.09,93.17,-57.15,664548
3.91,-10.28,-5.97,2.13,-2.26,-0.78,-75.94,86.85,-57.21,664583
4.75,-7.88,-6.27,3.10,-3.20,-0.89,-81.01,81.28,-56.56,664617
1.06,-10.01,-8.27,4.02,-4.51,-1.03,-88.56,73.21,-52.21,664651
0.20,-9.58,-14.37,4.27,-5.02,-0.87,-95.21,67.93,-45.88,664685
1.50,-6.92,-13.40,4.57,-5.12,-0.72,-99.93,64.67,-39.08,664719
10.40,-4.73,-9.58,5.43,-5.14,-1.19,-103.70,62.69,-31.10,664753
11.46,-8.35,-10.15,6.15,-6.21,-1.55,-106.74,62.50,-21.73,664788
-16.87,-22.40,-18.38,7.53,-8.39,-1.09,-108.94,63.77,-8.35,664822
1.73,-15.72,-26.07,10.07,-7.89,-2.40,-110.63,64.48,-2.82,664856
19.75,-22.06,-23.83,9.77,-8.04,-1.59,-110.27,68.82,-1.75,664890
3.42,-18.32,-21.70,8.32,-9.11,-3.66,-110.36,65.36,9.60,664924
-9.32,2.35,-20.55,5.82,-6.82,-2.62,-108.92,60.90,20.74,664958
1.72,-2.70,-24.44,5.20,-7.37,-1.39,-100.25,65.29,37.69,664993
6.31,-8.41,-21.56,5.24,-5.68,-1.75,-90.02,72.92,46.80,665027
-6.97,0.81,-21.35,5.32,-5.60,-1.86,-78.22,82.84,49.23,665061
-0.69,-0.19,-22.30,6.07,-7.07,-2.30,-59.85,95.94,45.56,665095
-3.27,-1.97,-19.75,6.41,-6.36,-2.50,-48.33,104.02,31.70,665129
1.05,1.66,-17.67,6.37,-6.64,-2.51,-44.14,107.64,8.65,665164
-0.93,0.21,-18.31,6.58,-6.49,-2.64,-46.89,105.31,-9.50,665198
-3.29,-2.73,-22.48,7.13,-7.73,-2.92,-54.56,98.58,-23.56,665232
-0.42,-2.72,-21.91,6.88,-8.31,-3.23,-68.28,86.88,-29.45,665266
-5.02,-6.49,-20.65,6.94,-8.31,-3.20,-77.70,77.54,-27.74,665300
-10.58,-5.45,-29.01,7.60,-10.48,-3.85,-85.79,69.72,-17.86,665334
-6.69,-4.53,-30.62,7.46,-10.51,-3.71,-90.27,65.17,-2.15,665369
-5.75,-6.58,-24.51,7.13,-9.96,-3.17,-89.17,65.57,9.16,665403
-6.60,-12.00,-26.28,7.12,-10.13,-2.85,-84.16,70.11,20.15,665437
-7.11,-9.80,-29.60,6.99,-10.36,-2.85,-78.15,76.22,27.04,665471
-5.79,-10.64,-28.43,6.05,-8.68,-2.06,-71.79,83.10,29.76,665505
-6.12,-9.63,-26.59,5.87,-8.35,-1.86,-63.56,92.37,31.28,665540
-5.37,-9.71,-24.45,5.92,-8.62,-1.62,-54.85,100.64,30.74,665574
-6.76,-11.28,-26.28,5.97,-8.64,-1.56,-40.56,111.77,22.79,665608
-9.68,-8.11,-25.10,6.15,-9.00,-1.73,-28.52,117.93,6.90,665642
-4.71,-11.61,-29.85,6.19,-9.31,-1.79,-21.63,118.88,-16.50,665676
-0.22,-7.72,-26.45,5.67,-8.93,-1.66,-24.41,110.25,-42.65,665710
-5.36,-10.41,-27.28,5.46,-8.32,-1.25,-33.43,98.96,-59.25,665745
-2.23,-6.60,-25.09,5.35,-8.61,-1.27,-51.23,82.74,-67.01,665779
-0.57,-6.79,-24.25,4.97,-8.04,-1.03,-64.81,71.92,-64.21,665813
-2.86,-10.41,-24.75,5.14,-8.13,-1.26,-76.78,63.56,-55.90,665847
-0.40,-5.54,-26.72,5.56,-9.28,-1.89,-88.99,56.33,-37.31,665881
0.44,-5.10,-23.65,5.44,-9.18,-2.00,-93.96,54.12,-20.24,665916
2.95,-8.28,-20.84,5.22,-8.74,-2.26,-94.52,53.61,-0.95,665950
-2.11,-7.85,-19.53,5.15,-8.56,-2.45,-92.17,53.99,13.75,665984
-0.81,-7.11,-19.34,5.19,-8.49,-2.51,-87.09,55.69,26.66,666018
-0.48,-6.84,-18.41,5.26,-8.44,-2.56,-78.50,60.03,39.54,666052
-1.18,-7.94,-18.72,5.29,-8.39,-2.55,-68.47,66.16,48.44,666086
-0.29,-6.57,-18.73,4.96,-7.92,-2.47,-58.17,73.24,53.00,666121
-1.39,-5.29,-20.41,4.80,-7.36,-2.23,-43.77,82.36,54.22,666155
-1.90,-2.83,-20.91,4.94,-7.65,-2.09,-30.59,91.42,49.85,666189
3.29,-5.61,-15.82,4.46,-8.35,-2.04,-14.03,100.89,37.84,666223
5.74,-4.93,-9.88,4.61,-6.79,-2.35,-6.26,106.72,21.94,666257
0.88,-6.50,-12.54,4.73,-6.99,-2.34,-4.72,110.36,2.89,666291
0.50,-8.08,-13.87,4.81,-7.56,-2.75,-10.96,109.65,-21.76,666326
0.57,-9.04,-13.34,5.01,-7.60,-3.20,-23.62,104.28,-39.08,666360
-1.80,-7.41,-13.92,5.22,-7.54,-3.11,-41.01,91.64,-52.31,666394
-1.46,-9.02,-16.24,5.43,-8.05,-2.89,-61.69,80.97,-55.67,666428
-4.89,-9.35,-15.87,5.43,-7.74,-2.66,-76.67,69.64,-49.74,666462
-4.37,-8.46,-15.37,5.43,-7.94,-2.51,-89.29,58.55,-35.55,666497
-2.32,-9.46,-16.04,5.31,-8.16,-2.28,-95.05,53.48,-20.46,666531
-2.58,-8.32,-16.46,5.56,-7.96,-2.33,-95.97,51.23,-2.73,666565
-2.73,-8.64,-14.17,5.46,-7.72,-2.22,-94.07,51.46,8.49,666599
-4.86,-14.82,-16.10,5.72,-8.42,-2.30,-89.65,55.19,21.05,666633
-5.58,-10.61,-19.25,5.71,-8.57,-2.74,-82.49,59.98,33.29,666667
-9.61,-11.23,-23.07,5.51,-8.10,-2.61,-75.05,65.40,40.37,666702
-6.12,-8.27,-22.47,5.20,-7.84,-2.26,-66.81,71.97,46.42,666736
-7.05,-8.48,-22.21,5.12,-7.39,-1.86,-55.25,82.02,49.27,666770
-2.87,-7.17,-19.23,5.29,-7.86,-1.64,-42.36,91.19,47.85,666804
-0.41,-5.28,-17.45,4.91,-8.23,-1.46,-24.54,102.15,40.54,666838
2.47,-7.37,-16.01,4.16,-6.50,-1.06,-10.99,109.49,27.24,666873
-0.69,-8.23,-14.87,4.02,-6.35,-1.34,-2.00,113.20,10.61,666907
-2.28,-7.64,-15.53,4.38,-6.84,-1.39,1.81,113.74,-15.24,666941
-5.30,-10.46,-16.17,4.66,-7.83,-1.82,-2.67,109.02,-37.46,666975
-2.61,-10.99,-17.90,4.90,-8.29,-2.44,-18.43,98.60,-59.25,667009
-5.25,-7.95,-20.57,5.06,-8.46,-2.67,-37.61,84.84,-70.24,667043
-5.29,-8.87,-20.58,5.38,-8.81,-2.66,-58.02,69.76,-70.97,667078
-5.06,-10.40,-18.56,5.58,-8.89,-2.69,-81.53,53.24,-58.54,667112
-5.13,-11.96,-20.61,5.45,-8.79,-2.64,-94.53,42.14,-40.19,667146
0.17,-6.63,-21.24,4.58,-7.49,-2.50,-101.07,34.93,-17.16,667180
-3.78,-8.34,-19.11,4.27,-6.69,-2.21,-101.18,33.59,-0.34,667214
-2.49,-6.00,-16.53,4.42,-7.00,-2.26,-98.04,35.03,15.61,667249
-1.40,-6.37,-17.34,4.57,-7.23,-2.23,-90.79,38.79,33.13,667283
-0.55,-5.39,-16.65,4.27,-7.59,-2.23,-81.54,43.19,46.46,667317
-1.43,-7.04,-17.32,4.15,-7.35,-2.31,-70.40,49.08,59.70,667351
-0.73,-4.91,-14.97,4.08,-7.12,-2.28,-55.86,57.72,67.19,667385
0.87,-3.88,-14.12,3.98,-6.98,-2.30,-42.74,65.54,70.91,667419
-0.33,-7.41,-12.39,4.45,-6.64,-2.58,-28.82,78.37,68.50,667454
-0.51,-10.94,-13.51,4.61,-7.08,-2.90,-17.17,89.39,63.07,667488
-1.69,-8.22,-14.46,4.90,-7.33,-3.37,-8.20,99.49,46.49,667522
-4.90,-10.29,-13.09,5.31,-7.73,-3.21,-2.76,110.22,27.77,667556
-5.71,-11.10,-17.29,5.85,-8.96,-3.45,-3.05,115.23,2.15,667590
-5.09,-10.58,-18.77,5.82,-8.59,-3.38,-12.89,113.18,-29.28,667625
-4.29,-6.22,-18.44,5.09,-7.77,-2.89,-27.11,105.54,-47.02,667659
-2.93,-7.96,-16.13,4.76,-6.90,-2.34,-41.65,95.69,-58.01,667693
-1.45,-6.90,-14.86,4.94,-7.16,-2.42,-60.16,80.93,-61.77,667727
-2.31,-7.28,-14.90,5.13,-7.48,-2.44,-75.24,68.27,-57.29,667761
-2.16,-8.78,-15.47,5.05,-7.45,-2.39,-90.53,56.08,-43.41,667795
0.17,-5.83,-16.42,4.67,-7.41,-2.53,-97.75,48.10,-28.40,667830
-0.47,-5.44,-15.59,4.27,-7.37,-2.50,-100.89,43.39,-9.98,667864
-1.62,-5.28,-15.10,4.58,-7.29,-2.67,-99.85,41.77,9.54,667898
-0.91,-8.87,-16.49,4.92,-8.14,-2.94,-95.34,42.60,26.44,667932
0.26,-5.59,-13.59,4.95,-8.82,-3.31,-86.82,48.55,47.15,667966
0.57,-7.46,-14.17,4.56,-8.34,-3.07,-72.52,50.34,59.65,668000
-2.66,-6.45,-11.72,4.39,-6.92,-2.64,-61.08,57.69,66.25,668035
-3.54,-9.10,-12.88,3.95,-6.62,-2.35,-47.19,68.90,70.93,668069
0.85,-5.14,-12.94,4.09,-6.29,-2.48,-36.66,78.68,70.52,668103
-1.21,-9.06,-12.74,4.42,-6.53,-2.60,-27.67,88.95,64.85,668137
0.00,-6.87,-14.81,4.77,-7.68,-3.34,-16.52,100.34,52.84,668171
-3.68,-6.84,-16.25,5.26,-8.65,-4.16,-12.36,109.35,37.94,668206
-1.80,-3.58,-13.95,5.64,-9.40,-4.49,-13.20,116.33,13.93,668240
-0.69,-8.77,-12.67,5.64,-9.12,-4.37,-22.19,117.66,-6.12,668274
-0.64,-4.67,-10.21,5.19,-8.41,-3.84,-35.46,113.43,-22.92,668308
-2.21,-10.27,-10.23,4.55,-7.85,-3.20,-52.03,104.95,-31.53,668342
-0.98,-7.72,-11.00,4.40,-6.89,-3.24,-65.39,95.45,-34.49,668376
-4.25,-8.25,-13.38,4.56,-6.72,-2.77,-78.75,83.94,-30.82,668411
-1.62,-5.18,-12.15,4.58,-6.92,-2.61,-86.52,75.86,-24.07,668445
-0.67,-9.58,-12.67,4.32,-6.79,-2.48,-91.67,70.13,-14.34,668479
-0.78,-7.21,-12.59,4.45,-6.65,-2.53,-94.01,65.26,-1.62,668513
-1.28,-6.55,-11.96,4.55,-6.91,-2.72,-92.97,63.12,10.45,668547
-0.78,-8.87,-12.21,4.66,-7.38,-3.03,-90.18,62.95,24.47,668582
-0.95,-8.39,-13.30,4.71,-7.69,-3.42,-85.22,63.78,33.75,668616
-1.46,-6.30,-12.89,4.65,-7.90,-3.50,-79.35,65.78,44.36,668650
0.85,-6.67,-11.72,4.42,-7.41,-3.28,-70.42,70.01,52.78,668684
1.61,-9.28,-12.65,4.29,-7.01,-3.13,-63.68,74.93,57.04,668718
